Id,Label,colaboracion,subscriptores,views
123,Sangiovanni,['Aitana'],679K,"375,300,338 views"
124,Ana Mena,"['Belinda', 'Belinda', 'Abraham Mateo']",978K,"505,295,256 views"
125,Baby Rasta,"['Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Boy Wonder CF']",565,No info
126,Jowell & Randy,"['Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Wisin', 'Wisin', 'Wisin', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'J Balvin']",2.71M,"1,359,432,677 views"
127,Yailin la Mas Viral,"['Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA']",357K,"19,410,046 views"
128,Ptazeta,"['Emilia', 'Emilia', 'Emilia']",381K,No info
129,Maldy,"['KAROL G', 'KAROL G', 'KAROL G', 'KAROL G', 'KAROL G', 'KAROL G', 'KAROL G', 'KAROL G']",169K,"74,289,157 views"
130,Andy Rivera,"['India Martínez', 'Ñejo']",3.15M,"1,454,726,951 views"
131,Bad Gyal,['Quevedo'],793K,"475,330,912 views"
132,Farruquito,[],,
133,Rema,"['Selena Gomez', 'Omar Montes']",2.55M,"762,615,291 views"
134,Lyanno,"['Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro']",1M,No info
135,Brray,"['Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro']",201K,No info
136,Polima Westcoast,"['Quevedo', 'Quevedo', 'Fran C.', 'Fran C.', 'Fran C.', 'De La Ghetto', 'De La Ghetto']",806K,"467,549,484 views"
137,MVSIS,['Anuel AA'],68,No info
138,Bryant Myers,"['Anuel AA', 'Boy Wonder CF']",8.29M,"3,237,407,605 views"
139,Niña Pastori,['Sergio Ramos'],376K,No info
140,RedOne,['Sergio Ramos'],1.31M,"333,865,311 views"
141,Pablo Chill-E,"['JC Reyes', 'JC Reyes']",991K,No info
142,Ecko,"['JC Reyes', 'JC Reyes']",756,No info
143,María Artés Lamorena,['Galvan Real'],126K,No info
144,Foreign Teck,['Anuel AA'],186K,No info
145,Myriam Fares,['Nicki Minaj'],2.06M,No info
146,FIFA Sound,['Nicki Minaj'],815,No info
147,El Jhota,['Cano'],139K,No info
148,Los del Control,['Cano'],3.82K,No info
149,TALE$,['Kidd Keo'],23.9K,No info
150,Bebe Rexha,['David Guetta'],9.16M,"3,754,485,229 views"
151,Romeo Santos,"['ROSALÍA', 'ROSALÍA', 'ROSALÍA', 'Aventura', 'Aventura']",20.1M,"15,834,803,773 views"
152,Estopa,['Beret'],647K,"734,549,820 views"
153,Cruz Cafuné,['Wiso Rivera'],144K,No info
154,Juseph,['Wiso Rivera'],35.6K,No info
