artista,colaborador,duracion,explicito,visitas,fecha_publicacion,title
Robi,Feid,237,False,60728715,2022/03/17,Pantysito (Official Video)
Jhayco,Mora,196,False,139098934,2021/04/14,512
Anuel AA,Ozuna,288,False,342091156,2019/07/25,Otro Trago (Remix) (feat. Nicky Jam & Darell)
Anuel AA,Sech,288,False,342091156,2019/07/25,Otro Trago (Remix) (feat. Nicky Jam & Darell)
Farruko,Sean Paul,223,False,524633342,2014/05/27,Passion Whine
Feid,Justin Quiles,233,False,165877090,2020/02/24,Porfa (Video Oficial)
Jhayco,Sech,220,False,93599843,2021/07/08,911 (Remix)
Maluma,Blessd,226,False,75843425,2021/05/12,BLESSD ❌ MALUMA | 🔥IMPOSIBLE 🔥(REMIX - OFFICIAL VIDEO)
Los Legendarios,Jhayco,361,False,160978018,2021/06/15,Fiel (Remix)
Los Legendarios,Wisin,361,False,160978018,2021/06/15,Fiel (Remix)
Los Legendarios,Anuel AA,361,False,160978018,2021/06/15,Fiel (Remix)
De La Ghetto,Daddy Yankee,236,False,274635322,2017/09/14,La Formula (feat. Chris Jedi)
De La Ghetto,Ozuna,236,False,274635322,2017/09/14,La Formula (feat. Chris Jedi)
Bad Bunny,Jhay Cortez,214,False,1241387333,2020/10/29,Dákiti
KAROL G,Maldy,222,False,259230826,2022/08/25,GATÚBELA
Natti Natasha,Becky G,219,False,630081851,2021/04/20,Ram pam pam
KAROL G,Anuel AA,302,False,1969505595,2019/07/19,China (feat. J Balvin & Ozuna)
KAROL G,Daddy Yankee,302,False,1969505595,2019/07/19,China (feat. J Balvin & Ozuna)
Lunay,Bad Bunny,266,False,875846522,2019/05/10,Soltera (remix)
Lunay,Daddy Yankee,266,False,875846522,2019/05/10,Soltera (remix)
Nio Garcia,Bad Bunny,270,False,311612805,2021/06/24,Nio Garcia x J Balvin x Bad Bunny - AM Remix
Nio Garcia,J Balvin,270,False,311612805,2021/06/24,Nio Garcia x J Balvin x Bad Bunny - AM Remix
Mora,Bad Bunny,274,False,334554514,2021/07/08,Volando (remix)
Mora,Sech,274,False,334554514,2021/07/08,Volando (remix)
Nicky Jam,J Balvin,192,False,2128474557,2018/03/01,X
Farruko,Nicky Jam,240,False,375854434,2018/12/21,Baby
Farruko,Amenazzy,240,False,375854434,2018/12/21,Baby
Bad Bunny,Jowell & Randy,296,False,354328441,2020/02/28,Safaera
Bad Bunny,Ñengo Flow,296,False,354328441,2020/02/28,Safaera
Farruko,Don Omar,197,False,101021130,2019/04/19,Ramayama
Sean Paul,J Balvin,236,False,255628081,2019/03/15,Contra La Pared
DJ Luian,Mambo Kingz,291,False,512212302,2018/11/05,"Bubalu (feat. Anuel AA, Prince Royce & Becky G)"
Anuel AA,Brytiago,211,False,146657595,2019/02/14,Controla
Farruko,Myke Towers,248,False,439541032,2019/02/25,Si se da
Anuel AA,Daddy Yankee,225,False,520882659,2018/11/08,Adictiva
Manuel Turizo,Ozuna,239,False,1057420538,2018/06/28,Vaina loca
Nicky Jam,Ozuna,204,False,613950625,2019/03/21,Te Robaré
Becky G,Paulo Londra,280,False,841273800,2018/08/02,Cuando Te Besé (Official Video)
Wisin,Nicky Jam,235,False,446158162,2017/07/28,Si Tú la Ves
Marc Anthony,Will Smith,281,False,197740453,2018/09/27,Está Rico
Marc Anthony,Bad Bunny,281,False,197740453,2018/09/27,Está Rico
J Balvin,Zion & Lennox,274,False,748186742,2018/06/28,No Es Justo (Official Video)
DJ Luian,Nicky Jam,303,False,486906663,2019/03/28,Verte Ir
DJ Luian,Darell,303,False,486906663,2019/03/28,Verte Ir
DJ Luian,Anuel AA,303,False,486906663,2019/03/28,Verte Ir
KAROL G,Anuel AA,258,False,1346507020,2019/01/14,Secreto
Becky G,Natti Natasha,217,False,2080983233,2018/04/20,Sin Pijama
Natti Natasha,Thalía,221,False,1411631961,2018/06/01,No Me Acuerdo (Official Video)
Nicky Jam,Anuel AA,263,False,121810042,2019/05/16,Ven y Hazlo Tú (feat. Arcangel)
Nicky Jam,J Balvin,263,False,121810042,2019/05/16,Ven y Hazlo Tú (feat. Arcangel)
Bad Bunny,J Balvin,306,False,1968479358,2019/05/16,No Me Conoce (Remix)
Bad Bunny,Jhay Cortez,306,False,1968479358,2019/05/16,No Me Conoce (Remix)
Piso 21,Micro TDH,254,False,498085265,2018/12/13,Te Vi
DJ Snake,J Balvin,190,False,445665857,2019/06/13,Loco Contigo
DJ Snake,Tyga,190,False,445665857,2019/06/13,Loco Contigo
Wisin & Yandel,Daddy Yankee,276,False,458481917,2019/06/27,Si Supieras
Nicky Jam,Dalex,296,False,318797429,2019/06/07,"Cuaderno (feat. Lenny Tavárez, Rafa Pabön, Sech & Feid)"
Nicky Jam,Justin Quiles,296,False,318797429,2019/06/07,"Cuaderno (feat. Lenny Tavárez, Rafa Pabön, Sech & Feid)"
Nicky Jam,Sech,206,False,143307292,2019/08/01,Atrévete
Farruko,Rvssian,169,False,247752211,2018/09/06,Ponle
Farruko,J Balvin,169,False,247752211,2018/09/06,Ponle
ChocQuibTown,Becky G,229,False,63893877,2019/06/27,Que me baile
Bad Bunny,Farruko,298,False,118775781,2019/09/25,La Cartera (Official Video)
